event_no;onset_date;onset_time;peak_flux
1;2012-01-22;03:12:34.938000;5287.64501953125
2;2012-01-22;05:02:34.938000;11150.8525390625
3;2012-01-22;23:27:34.938000;2605.284423828125
4;2012-01-23;03:42:32.264000;93472.3125
5;2012-01-23;16:12:32.264000;135974.265625
6;2012-01-24;07:22:41.678000;144504.875
7;2012-01-24;13:32:41.678000;214666.015625
8;2012-01-27;18:42:33.479000;28796.25390625
9;2012-01-28;04:12:30.806000;42220.10546875
10;2012-01-28;09:17:30.806000;49399.45703125
11;2012-01-30;03:02:37.281000;12789.267578125
12;2012-02-25;20:07:35.301000;22794.759765625
13;2012-02-26;19:07:40.986000;22181.716796875
14;2012-02-27;11:12:33.789000;6716.18017578125
15;2012-03-06;06:22:37.071000;3171.1943359375
16;2012-03-06;15:22:37.071000;2418.92333984375
17;2012-03-07;02:57:41.660000;12901.5234375
18;2012-03-07;06:12:41.660000;34852.65234375
19;2012-03-07;08:27:41.660000;111380.9921875
20;2012-03-07;10:17:41.660000;216948.3125
21;2012-03-12;05:37:49.890000;31027.703125
22;2012-03-13;02:17:41.296000;5682.875
23;2012-03-13;17:22:41.296000;25842.34375
24;2012-03-14;10:17:32.719000;18088.703125
25;2012-03-15;16:12:48.920000;4769.158203125
26;2012-03-31;16:37:40.047000;1219.300048828125
27;2012-04-11;06:42:34.836000;1355.93994140625
28;2012-05-17;01:47:47.728000;14188.9892578125
29;2012-05-17;18:07:47.728000;6167.62744140625
30;2012-05-18;01:22:39.839000;6474.31640625
31;2012-05-26;21:12:34.511000;2369.13427734375
32;2012-05-28;00:52:41.023000;1236.8892822265625
33;2012-06-16;09:02:38.638000;2435.42724609375
34;2012-06-16;13:37:38.638000;5201.216796875
35;2012-06-17;08:02:39.158000;4395.48193359375
36;2012-07-06;23:27:34.213000;5472.0419921875
37;2012-07-07;01:17:33.504000;27232.35546875
38;2012-07-08;22:22:32.529000;9079.455078125
39;2012-07-09;04:47:31.805000;4531.8837890625
40;2012-07-12;17:02:41.329000;6466.51513671875
41;2012-07-13;17:02:40.340000;8917.2119140625
42;2012-07-14;10:22:39.380000;31596.611328125
43;2012-07-14;14:42:39.380000;37590.0234375
44;2012-07-17;14:52:36.012000;2358.908935546875
45;2012-07-20;04:02:32.778000;20175.763671875
46;2012-07-21;16:27:32.142000;2456.035888671875
47;2012-07-23;04:52:30.030000;1445.6824951171875
48;2012-07-28;22:22:37.590000;2421.845458984375
49;2012-07-30;20:43:37.829000;1458.74658203125
50;2012-07-31;13:42:35.580000;2035.098388671875
51;2012-09-01;10:22:35.534000;4241.11572265625
52;2012-09-01;23:47:31.013000;7755.30322265625
53;2012-09-02;03:07:31.013000;7834.3154296875
54;2012-09-02;05:22:31.013000;7748.60693359375
55;2012-09-02;07:52:31.013000;14047.9287109375
56;2012-09-03;11:17:39.257000;36408.02734375
57;2012-09-23;04:12:31.362000;1091.8389892578125
58;2012-09-24;06:52:30.022000;3974.2294921875
59;2012-09-24;16:22:30.022000;3715.36962890625
60;2012-09-26;13:19:18.183000;5431.3935546875
61;2012-09-28;00:17:38.855000;14333.8525390625
62;2012-09-30;22:12:37.656000;14206.279296875
63;2012-10-01;04:17:37.335000;4063.43115234375
64;2012-10-06;12:52:38.256000;1571.44873046875
65;2012-10-06;17:17:38.256000;1748.5189208984375
66;2012-10-06;22:42:38.256000;2512.5078125
67;2012-10-07;14:32:38.848000;6177.99462890625
68;2012-10-09;08:17:40.555000;1404.265625
69;2012-10-09;10:02:40.555000;4382.056640625
70;2012-11-12;21:52:35.901000;6423.25048828125
71;2012-11-13;02:38:32.239000;1711.091796875
72;2012-11-20;12:47:37.659000;1770.2796630859375
73;2012-12-14;16:18:54.067000;1542.2242431640625
74;2012-12-14;19:03:54.067000;3104.185791015625
75;2012-12-15;00:02:39.510000;8559.8076171875
