event_no,onset_date,onset_time,peak_flux
4,2011-01-24,13:07:34.920000,39.87333679199219
5,2011-01-27,08:22:32.436000,267.4586486816406
6,2011-01-28,01:22:39.812000,872.7286376953125
8,2011-02-04,20:52:40.598000,130.1407470703125
9,2011-02-05,03:00:00,556.2521362304688
10,2011-02-14,20:37:34.686000,424.44366455078125
11,2011-02-15,01:52:41.190000,1054.143798828125
12,2011-02-16,10:52:35.222000,613.9480590820312
14,2011-02-17,15:00:00,7658.51953125
15,2011-02-22,06:37:36.543000,29.46970558166504
16,2011-02-24,06:37:32.686000,26.099102020263672
17,2011-02-25,14:37:30.794000,31.65159034729004
18,2011-03-01,03:00:00,122.56790161132812
20,2011-03-07,20:52:42.158000,11864.7314453125
22,2011-03-10,01:22:32.742000,14368.0615234375
23,2011-03-17,12:22:30.747000,399.53070068359375
24,2011-03-19,16:52:34.724000,131.65480041503906
25,2011-03-21,02:52:37.632000,1419.207763671875
28,2011-03-22,08:52:32.859000,1322.3162841796875
29,2011-03-29,23:54:41.717000,75.76628112792969
30,2011-03-30,12:00:00,117.47086334228516
31,2011-03-31,21:07:33.240000,90.06535339355469
33,2011-04-02,03:07:33.334000,383.8431396484375
34,2011-04-03,06:37:39.202000,308.3204040527344
35,2011-04-04,12:22:32.764000,246.90054321289062
37,2011-04-05,16:22:38.404000,517.6434936523438
38,2011-04-06,06:37:31.623000,858.1098022460938
39,2011-04-08,08:07:41.980000,68.14990997314453
40,2011-04-22,04:00:00,50.0
43,2011-04-23,15:22:40.143000,80.72331237792969
47,2011-05-11,02:52:41.311000,147.74403381347656
48,2011-05-12,12:22:30.662000,159.05282592773438
50,2011-05-14,22:07:37.656000,418.45281982421875
51,2011-05-15,23:37:41.094000,1797.4222412109375
53,2011-05-28,20:52:35.053000,24.25596809387207
54,2011-05-30,03:00:00,43.2954216003418
55,2011-05-30,17:52:37.391000,226.2308807373047
56,2011-05-31,12:52:38.675000,939.6358032226562
57,2011-06-01,05:07:39.740000,1671.328125
59,2011-06-04,05:07:41.970000,789.9405517578125
61,2011-06-04,18:52:41.970000,5289.626953125
62,2011-06-05,07:00:00,589.1404418945312
63,2011-06-06,01:00:00,2300.0
64,2011-06-07,06:52:30.970000,9460.6513671875
65,2011-06-10,14:07:31.700000,6482.25634765625
66,2011-06-11,13:30:00,8776.2373046875
68,2011-06-13,05:07:30.883000,12600.5009765625
70,2011-06-16,14:37:41.753000,7770.65625
72,2011-06-17,13:37:41.128000,10691.958984375
73,2011-06-23,05:07:35.460000,745.9825439453125
74,2011-06-29,01:22:39.207000,83.09576416015625
75,2011-07-07,04:52:37.438000,50.102745056152344
77,2011-07-07,20:52:37.438000,364.23974609375
78,2011-07-11,04:22:42.128000,542.122314453125
79,2011-07-16,01:37:32.179000,26.597618103027344
80,2011-07-18,17:52:40.542000,158.1913604736328
82,2011-07-30,20:37:39.389000,65.5007553100586
83,2011-07-31,17:52:40.629000,75.43436431884766
84,2011-08-02,05:07:31.143000,2009.018310546875
86,2011-08-03,12:37:32.132000,1598.4224853515625
87,2011-08-04,04:37:34.175000,11239.609375
88,2011-08-04,21:07:34.175000,11316.3779296875
89,2011-08-05,12:07:35.757000,34652.140625
90,2011-08-08,18:00:00,10000.0
91,2011-08-09,08:07:31.104000,30036.060546875
92,2011-08-11,11:22:35.783000,462.4427490234375
95,2011-08-31,18:52:40.662000,75.8087387084961
96,2011-09-04,04:30:00,284.8763122558594
97,2011-09-05,01:22:40.085000,97.1698989868164
98,2011-09-06,01:07:33.120000,437.63580322265625
99,2011-09-06,22:52:33.120000,1106.9818115234375
100,2011-09-09,11:37:36.967000,575.374267578125
101,2011-09-13,13:22:36.766000,64.57813262939453
102,2011-09-18,04:30:00,50.0
104,2011-09-21,23:22:30.754000,204.59060668945312
106,2011-09-22,14:52:38.231000,1437.35693359375
111,2011-09-25,09:22:38.010000,40331.12890625
114,2011-09-28,13:38:23.955000,2561.638427734375
116,2011-10-02,02:37:37.609000,376.201416015625
117,2011-10-02,21:22:37.609000,323.58056640625
118,2011-10-04,16:52:32.537000,434.91143798828125
119,2011-10-05,09:22:30.145000,1009.83984375
120,2011-10-06,20:52:40.275000,478.21331787109375
121,2011-10-21,11:07:37.780000,222.1719207763672
122,2011-10-22,11:09:28.711000,2626.854736328125
124,2011-10-23,11:52:38.766000,11253.083984375
125,2011-10-24,03:22:39.475000,41699.07421875
127,2011-10-27,04:30:00,2900.0
128,2011-11-03,22:22:30.132000,600.0
129,2011-11-07,15:07:40.505000,145.05654907226562
130,2011-11-08,00:22:30.912000,246.3575439453125
131,2011-11-11,06:37:37.205000,1363.9410400390625
133,2011-11-12,13:07:41.652000,696.5863647460938
134,2011-11-17,23:07:42.155000,206.1090087890625
136,2011-11-22,01:07:33.313000,87.24226379394531
137,2011-11-22,20:07:33.313000,100.0
138,2011-11-26,07:22:33.305000,6536.009765625
140,2011-11-27,06:37:39.813000,17441.615234375
141,2011-11-28,03:37:33.993000,8191.5146484375
142,2011-12-14,03:52:40.699000,451.3044128417969
143,2011-12-14,15:37:40.699000,714.9798583984375
145,2011-12-25,17:22:34.716000,2691.6572265625
146,2011-12-28,16:07:36.316000,245.3055877685547
148,2011-12-30,06:37:41.517000,108.32880401611328
149,2011-12-30,14:52:41.517000,268.2580871582031
150,2011-12-31,20:07:38.318000,239.9819793701172
