stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,5120.663821203639,5115.953076566639,5145.420409698239,5150.135646127961,224.3933290334607,135.69158480605913,90.1128753828286,86.69969466676321
mean,pitch_angle,3514.7092452036422,3515.6240365927474,3744.511202493048,4243.891125504355,253.46349302859005,171.6508818981154,113.24514295059204,126.47534137593276
fill_average,time,226.9098297430324,253.61490614039167,372.14324624078125,625.5882810963941,72.06929099653009,59.16506198305813,67.76767214606345,78.07848113073011
fill_average,pitch_angle,813.1908193385925,1097.6065122793264,2258.4374386317186,3742.7349060159786,159.42601167504486,168.24348863470044,191.7682867127825,168.98074415120576
interp,time,166.92907606948447,181.97134989094104,249.53480209972764,410.45371750365774,26.44199611776122,17.2357591606861,30.33432834612387,45.46073165312044
interp,pitch_angle,783.5559027990042,975.3190623561684,2180.520665224498,3716.605470534372,180.4643433397277,158.5103758509047,214.29788231805227,176.7896286052846
knn,time,284.5302895808694,426.9694478779413,949.6717462558336,1619.4741134226936,44.57574777055803,76.65891720426296,79.42871251988754,208.790744123078
knn,pitch_angle,2853.787369822607,3135.2845435121567,3741.932749976397,4232.867613820054,233.81466225037465,200.7077413802569,119.88902284143886,118.19738638468638
